transfer_sid,transfer_index,amount,category,tx_sid,spender_address_sid,receiver_address_sid,token_sid
1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975_0,0,68400000000000000,transfer,1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975,1_0x21ddf1db140aa2855f3a1c4377ea35e4a097a1c3,1_0x00000000006c3852cbef3e08e8df289169ede581,1_native
1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975_6,6,1710000000000000,transfer,1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x0000a26b00c1f0df003000390027140000faa719,1_native
1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975_7,7,3420000000000000,transfer,1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x204552e33c3500d346ab257dc159b9f9f597fc91,1_native
1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975_8,8,63270000000000000,transfer,1_0x561bc8fc253b806862464221181f7976e5e0952ec644250acd8e6195696fe975,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0xc7b19a41771cd15ec804fb202ae8bf13cf2c6f0b,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_9,9,35340000000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x520d4e8a9dc6001e6e25c501c372c9ef1d517083,1_0x00000000006c3852cbef3e08e8df289169ede581,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_17,17,9231500000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x91fbe07758def2ec4a8ce341e0b2cabccb12cf54,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_18,18,883500000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x0000a26b00c1f0df003000390027140000faa719,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_19,19,1767000000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x2dcc7c4ab800bf67380e2553be1e6891a36f18e7,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_20,20,4615750000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0xe97103c3c8aa58709c2920c831d1baf97d5dd5d1,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_21,21,9231500000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x55ad3bbafaccb70f646c50a6699bf50bfc3ed603,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_22,22,4615750000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x5198b9cafaa588870d10a127f1e249b18c0fa2bd,1_native
1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba_23,23,4995000000000000,transfer,1_0x095dad5cc873af671018a209fe080dd50032ffaf5619691f9fa00c938475dbba,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x05fa91c59008813c95ec49e7dbcdd8890cc99fb7,1_native
1_0xdf34b779f23ad6a8714d295ce2b647d1c8b8b2aac93d2412c09168d67816c044_39,39,915457863648684,transfer,1_0xdf34b779f23ad6a8714d295ce2b647d1c8b8b2aac93d2412c09168d67816c044,1_0xae45a8240147e6179ec7c9f92c5a18f9a97b3fca,1_0xa7b474f21f36fbe5d105bd64623b42975e64cecd,1_native
1_0x8b02a530210a656ba1c5be7c4f2a059e3aa27b6de49446417015cab2307dab74_40,40,50000000000000000,transfer,1_0x8b02a530210a656ba1c5be7c4f2a059e3aa27b6de49446417015cab2307dab74,1_0xdd22de874fdf682e4b7975ded8b3cc3d585ff29e,1_0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1_native
1_0x8b02a530210a656ba1c5be7c4f2a059e3aa27b6de49446417015cab2307dab74_42,42,50000000000000000,transfer,1_0x8b02a530210a656ba1c5be7c4f2a059e3aa27b6de49446417015cab2307dab74,1_0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1_native
1_0x711d9371879bffd3619ed4c52647d1d62bff4df88ba4fe5a469c479412a6ba65_49,49,21353050000000000,transfer,1_0x711d9371879bffd3619ed4c52647d1d62bff4df88ba4fe5a469c479412a6ba65,1_0xd2a97db15f6dd9f96172e5d363a786aa1c8cff04,1_0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7,1_native
1_0x3ed9018b4806495baff56b25e46a8fd2cfec160418e12280a723ab607dcd33a0_50,50,4335000000000000,transfer,1_0x3ed9018b4806495baff56b25e46a8fd2cfec160418e12280a723ab607dcd33a0,1_0x1689a089aa12d6cbbd88bc2755e4c192f8702000,1_0x6dfd404a0def11b58b464dd17092e855e46f8a42,1_native
1_0xa121e9645d2471521414d9aa970021df82e8fc036dfdd1667952aa5f2c48372c_51,51,30461860000000000,transfer,1_0xa121e9645d2471521414d9aa970021df82e8fc036dfdd1667952aa5f2c48372c,1_0xbe2808fe8689198539f5968fc3385cdc722a5960,1_0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7,1_native
1_0xc86d2bb29d718b67236efa462d2a853b22ccb5af846e9de908a8f51434375e88_52,52,49655032251413000,transfer,1_0xc86d2bb29d718b67236efa462d2a853b22ccb5af846e9de908a8f51434375e88,1_0x4ba86ca2797691d1af5af268c92f63c1df5bf366,1_0xcbd6832ebc203e49e2b771897067fce3c58575ac,1_native
1_0xf01a02319e5fecfc1262d7cb49c690479734fcfd152303a93a4bbdc717e8a500_55,55,8000000000000000,transfer,1_0xf01a02319e5fecfc1262d7cb49c690479734fcfd152303a93a4bbdc717e8a500,1_0x06012c8cf97bead5deae237070f9587f8e7a266d,1_0xab5622d7da96c571c6abe08e4b85e462eb666e4f,1_native
1_0xb2fa248e2815b45885d2cc82fd438ae09eca15d76be35e65368bb4c351aeefe6_66,66,86237265142166452,transfer,1_0xb2fa248e2815b45885d2cc82fd438ae09eca15d76be35e65368bb4c351aeefe6,1_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1_0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1_native
1_0xb2fa248e2815b45885d2cc82fd438ae09eca15d76be35e65368bb4c351aeefe6_67,67,86237265142166452,transfer,1_0xb2fa248e2815b45885d2cc82fd438ae09eca15d76be35e65368bb4c351aeefe6,1_0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1_0xdcdf0feeede933ceafc6131b663f1ee210ac61ae,1_native
1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0_87,87,51000000000000000,transfer,1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0,1_0xc8557c93305f58ce6733c0f9fbd3413c8ebe4dc6,1_0x00000000006c3852cbef3e08e8df289169ede581,1_native
1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0_93,93,1275000000000000,transfer,1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x0000a26b00c1f0df003000390027140000faa719,1_native
1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0_94,94,2550000000000000,transfer,1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x204552e33c3500d346ab257dc159b9f9f597fc91,1_native
1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0_95,95,47175000000000000,transfer,1_0x5021495d4356e6670200bc7b549a4e3d4c052d4fbb65b74f6615952242845ab0,1_0x00000000006c3852cbef3e08e8df289169ede581,1_0x22be5f8a44765ba842c1ae2375d9d8137150bba6,1_native
1_0x144d156099d0ea8692de69b06613afa9366ab14d7fb37095664082c2c5146533_96,96,36019360000000000,transfer,1_0x144d156099d0ea8692de69b06613afa9366ab14d7fb37095664082c2c5146533,1_0xf60c2ea62edbfe808163751dd0d8693dcb30019c,1_0xf8b209322e6b01f3fd87d4131d0c96a599287b8e,1_native
