node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density,H1_flag,H1_description,H2_flag,H2_description,H3_flag,H3_description,H4_flag,H4_description,H5_flag,H5_description,H6_flag,H6_description,mahalanobis_distance,iforest_score,rule_score_raw,rule_score_100,mahalanobis_distance_stats_score_100,iforest_stats_score_100,final_score_0_100,final_score_top_percent,final_score_top_percent_display
0,0x00000000006c3852cbef3e08e8df289169ede581,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x0000a26b00c1f0df003000390027140000faa719,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0x05fa91c59008813c95ec49e7dbcdd8890cc99fb7,0,1,2023,1,1.0,0.0,1.0,0.0,4995000000000000.0,0.0,4995000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5106843270098393,-0.019143222403989635,0.0,0.0,43.548386,54.51613,32.68817,46.13,46.13%
3,0x204552e33c3500d346ab257dc159b9f9f597fc91,0,1,2023,1,1.0,0.0,3.0,0.0,8470000000000000.0,0.0,8470000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.2054497884609003,-0.02187911146563415,0.0,0.0,0.9677419,44.83871,15.268818,81.29,81.29%
4,0x22be5f8a44765ba842c1ae2375d9d8137150bba6,0,1,2023,1,1.0,0.0,1.0,0.0,4.7175e+16,0.0,47175000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4231585094866326,-0.025405607519635887,0.0,0.0,27.419355,11.612904,13.010753,83.87,83.87%
5,0x2dcc7c4ab800bf67380e2553be1e6891a36f18e7,0,1,2023,1,1.0,0.0,1.0,0.0,1767000000000000.0,0.0,1767000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5741260342737309,-0.012179414691246004,0.0,0.0,59.032257,68.70968,42.580647,35.48,35.48%
6,0x37f7be01a006efc949c215c86a8ce51a93f5ac6a,0,1,2023,1,1.0,0.0,1.0,0.0,4.625e+16,0.0,46250000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3836264422193292,-0.025405607519635887,0.0,0.0,16.451612,11.612904,9.354838,91.61,91.61%
7,0x5198b9cafaa588870d10a127f1e249b18c0fa2bd,0,1,2023,1,1.0,0.0,1.0,0.0,4615750000000000.0,0.0,4615750000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4016588878755674,-0.019632767705012266,0.0,0.0,19.35484,50.322582,23.225807,64.84,64.84%
8,0x55ad3bbafaccb70f646c50a6699bf50bfc3ed603,0,1,2023,1,1.0,0.0,1.0,0.0,9231500000000000.0,0.0,9231500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.6375292545828166,-0.021920436163827328,0.0,0.0,70.96774,43.870968,38.27957,39.68,39.68%
9,0x88ae9b800ad8cd6c4608564083c2cc1ffcf5f9e8,0,1,2023,1,1.0,0.0,1.0,0.0,615000000000000.0,0.0,615000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.7844454244548167,-0.0038442499573308475,0.0,0.0,79.03226,80.96774,53.333332,19.35,19.35%
