node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density
0,0x00000000006c3852cbef3e08e8df289169ede581,1,1,2023,1,,,,,,,,,,,,,,,,,
1,0x0000a26b00c1f0df003000390027140000faa719,1,1,2023,1,,,,,,,,,,,,,,,,,
2,0x05fa91c59008813c95ec49e7dbcdd8890cc99fb7,0,1,2023,1,1.0,0.0,1.0,0.0,4995000000000000.0,0,4995000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0x204552e33c3500d346ab257dc159b9f9f597fc91,0,1,2023,1,1.0,0.0,3.0,0.0,8470000000000000.0,0,8470000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0x22be5f8a44765ba842c1ae2375d9d8137150bba6,0,1,2023,1,1.0,0.0,1.0,0.0,4.7175e+16,0,47175000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0x2dcc7c4ab800bf67380e2553be1e6891a36f18e7,0,1,2023,1,1.0,0.0,1.0,0.0,1767000000000000.0,0,1767000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0x37f7be01a006efc949c215c86a8ce51a93f5ac6a,0,1,2023,1,1.0,0.0,1.0,0.0,4.625e+16,0,46250000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0x5198b9cafaa588870d10a127f1e249b18c0fa2bd,0,1,2023,1,1.0,0.0,1.0,0.0,4615750000000000.0,0,4615750000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0x55ad3bbafaccb70f646c50a6699bf50bfc3ed603,0,1,2023,1,1.0,0.0,1.0,0.0,9231500000000000.0,0,9231500000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0x88ae9b800ad8cd6c4608564083c2cc1ffcf5f9e8,0,1,2023,1,1.0,0.0,1.0,0.0,615000000000000.0,0,615000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
